NUM_OBJECT,49,,#オブジェクトの総数,,,
OBJECT_FILENAME,data/OBJECT/planter.x,,#プランター,,,
OBJECT_FILENAME,data/OBJECT/cardboard.x,,# 段ボール,,,
OBJECT_FILENAME,data/OBJECT/Woodbox.x,,# 木箱,,,
OBJECT_FILENAME,data/OBJECT/SecurityCamera.x,,# 監視カメラ,,,
OBJECT_FILENAME,data/OBJECT/jewel.x,,# 宝石,,,
,,,,,,
OBJECTSET,#1個目,,,,,
INDEX,0,#プランター,,,,
POS,-780,0,-430,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#2個目,,,,,
INDEX,0,#プランター,,,,
POS,-780,0,-780,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#3個目,,,,,
INDEX,0,#プランター,,,,
POS,-780,0,-100,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#4個目,,,,,
INDEX,0,#プランター,,,,
POS,-540,0,120,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#5個目,,,,,
INDEX,0,#プランター,,,,
POS,-480,0,-140,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#6個目,,,,,
INDEX,0,#プランター,,,,
POS,-480,0,-140,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#7個目,,,,,
INDEX,0,#プランター,,,,
POS,770,0,500,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#8個目,,,,,
INDEX,0,#プランター,,,,
POS,780,0,-30,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#9個目,,,,,
INDEX,0,#プランター,,,,
POS,318,0,552,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#10個目,,,,,
INDEX,1,# 段ボール,,,,
POS,-780,0,-288,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#11個目,,,,,
INDEX,1,# 段ボール,,,,
POS,-780,0,-320,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#12個目,,,,,
INDEX,1,# 段ボール,,,,
POS,-780,0,-352,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#13個目,,,,,
INDEX,1,# 段ボール,,,,
POS,-780,0,780,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#14個目,,,,,
INDEX,1,# 段ボール,,,,
POS,-240,0,500,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#15個目,,,,,
INDEX,1,# 段ボール,,,,
POS,700,0,780,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#16個目,,,,,
INDEX,1,# 段ボール,,,,
POS,732,0,780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#17個目,,,,,
INDEX,1,# 段ボール,,,,
POS,765,0,780,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#18個目,,,,,
INDEX,1,# 段ボール,,,,
POS,656,0,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#19個目,,,,,
INDEX,1,# 段ボール,,,,
POS,687,0,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#20個目,,,,,
INDEX,1,# 段ボール,,,,
POS,718,0,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#21個目,,,,,
INDEX,1,# 段ボール,,,,
POS,749,0,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#22個目,,,,,
INDEX,1,# 段ボール,,,,
POS,780,0,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#23個目,,,,,
INDEX,1,# 段ボール,,,,
POS,687,30,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#24個目,,,,,
INDEX,1,# 段ボール,,,,
POS,718,30,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#25個目,,,,,
INDEX,1,# 段ボール,,,,
POS,749,30,-780,,,
ROT,0,1.57,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#26個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,340,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#27個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,360,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#28個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,380,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#29個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,400,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#30個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,420,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#31個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,440,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#32個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,460,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#33個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,0,480,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#34個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,340,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#35個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,360,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#36個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,380,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#37個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,400,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#38個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,420,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#39個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,440,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#40個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,20,460,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#41個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,40,340,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#42個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,40,360,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#43個目,,,,,
INDEX,2,# 木箱,,,,
POS,310,40,380,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#44個目,,,,,
INDEX,2,# 木箱,,,,
POS,0,0,-600,,,
ROT,0,0,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#45個目,,,,,
INDEX,3,# 監視カメラ,,,,
POS,-780,150,-220,,,
ROT,0,-2.35619449,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#46個目,,,,,
INDEX,3,# 監視カメラ,,,,
POS,-780,150,300,,,
ROT,0,-1.570796327,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#47個目,,,,,
INDEX,3,# 監視カメラ,,,,
POS,-630,150,600,,,
ROT,0,-0.785398163,0,,,
END_OBJECTSET,,,,,,
OBJECTSET,#48個目,,,,,
INDEX,3,# 監視カメラ,,,,
POS,-360,150,-150,,,
ROT,0,2.35619449,0,,,
END_OBJECTSET,,,,,,
JEWELSET,#1個目,,,,,
INDEX,4,# 宝石,,,,
POS,0,0,700,,,
END_JEWELSET,,,,,,
